date,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused
2015/5/4,13.31,13.17,12.98,13.31,179078291,2351547392,0.797179286,14.64,11.98,13.13,13.31,0
2015/5/5,13.08,12.64,12.36,13.17,288434710,3685372416,0.797179286,14.48,11.85,12.78,13.17,0
2015/5/6,12.61,12.53,12.35,12.99,244601318,3107565568,0.797179286,13.91,11.38,12.71,12.64,0
2015/5/7,12.53,12.49,12.36,12.66,157895161,1968941824,0.797179286,13.78,11.28,12.47,12.53,0
2015/5/8,12.52,12.64,12.36,12.74,172416482,2163108864,0.797179286,13.74,11.24,12.55,12.49,0
2015/5/11,12.6,12.78,12.35,12.85,266323689,3349066752,0.797179286,13.9,11.38,12.57,12.64,0
2015/5/12,12.74,12.72,12.48,12.9,249586957,3166864384,0.797179286,14.05,11.5,12.69,12.78,0
2015/5/13,12.9,12.66,12.55,12.95,220347120,2807445504,0.797179286,14,11.45,12.74,12.72,0
2015/5/14,12.75,12.67,12.51,12.79,180389494,2283604736,0.797179286,13.93,11.39,12.66,12.66,0
2015/5/15,12.6,12.32,12.17,12.66,219864779,2718885120,0.797179286,13.93,11.4,12.36,12.67,0
2015/5/18,12.12,12.1,11.93,12.24,192815366,2327558400,0.797179286,13.55,11.09,12.07,12.32,0
2015/5/19,12.09,12.43,12,12.55,240574821,2959557120,0.797179286,13.31,10.89,12.3,12.1,0
2015/5/20,12.76,12.55,12.44,12.87,324853759,4115472640,0.797179286,13.67,11.18,12.67,12.43,0
2015/5/21,12.6,12.59,12.45,12.67,176352620,2214024960,0.797179286,13.8,11.3,12.56,12.55,0
2015/5/22,12.68,12.97,12.61,12.99,328898139,4233675776,0.797179286,13.85,11.33,12.87,12.59,0
2015/5/25,13.03,13.23,13.03,13.32,342503832,4518316544,0.797179286,14.27,11.67,13.19,12.97,0
2015/5/26,13.26,13.25,12.98,13.31,350261063,4607493632,0.797179286,14.56,11.91,13.15,13.23,0
2015/5/27,13.25,13.14,13.07,13.48,293687731,3888992256,0.797179286,14.57,11.93,13.24,13.25,0
2015/5/28,13.15,12.36,12.3,13.16,342841462,4404154880,0.797179286,14.45,11.82,12.84,13.14,0
2015/5/29,12.36,12.21,12.05,12.49,252757817,3103543552,0.797179286,13.59,11.12,12.28,12.36,0
2015/6/1,12.22,12.68,12.11,12.74,270749915,3365459200,0.797179286,13.43,10.99,12.43,12.21,0
2015/6/2,12.67,12.57,12.37,12.68,238945255,2991565056,0.797179286,13.94,11.41,12.52,12.68,0
2015/6/3,12.57,12.62,12.36,12.72,247777617,3103860736,0.797179286,13.83,11.31,12.52,12.57,0
2015/6/4,12.64,13.05,12.48,13.22,461945369,5971846144,0.797179286,13.88,11.36,12.93,12.62,0
2015/6/5,13.31,12.99,12.78,13.39,358194997,4681142272,0.797179286,14.36,11.74,13.07,13.05,0
2015/6/8,13.01,13.78,12.91,13.91,638005820,8596941824,0.797179286,14.29,11.69,13.47,12.99,0
2015/6/9,13.84,13.54,13.3,13.91,412324773,5601776128,0.797179286,15.16,12.4,13.58,13.78,0
2015/6/10,13.39,13.3,13.18,13.5,275770658,3679460608,0.797179286,14.89,12.18,13.34,13.54,0
2015/6/11,13.3,13.14,13.03,13.37,214125042,2811189760,0.797179286,14.63,11.97,13.13,13.3,0
2015/6/12,13.14,13.16,13,13.26,238765461,3131996672,0.797179286,14.45,11.82,13.11,13.14,0
2015/6/15,13.18,12.69,12.68,13.23,274991671,3547149568,0.797179286,14.48,11.85,12.9,13.16,0
2015/6/16,12.6,12.47,12.36,12.8,227324000,2858213632,0.797179286,13.96,11.42,12.57,12.69,0
2015/6/17,12.62,12.54,12.32,12.67,215251734,2689990144,0.797179286,13.71,11.22,12.5,12.47,0
2015/6/18,12.5,12.26,11.97,12.5,201028164,2468466176,0.797179286,13.79,11.29,12.28,12.54,0
2015/6/19,12.16,11.66,11.56,12.27,196382483,2345768704,0.797179286,13.49,11.03,11.94,12.26,0
2015/6/23,11.67,11.92,11.25,11.93,226484580,2643180032,0.797179286,12.83,10.5,11.67,11.66,0
2015/6/24,11.96,12.05,11.72,12.06,192177116,2290363648,0.797179286,13.11,10.73,11.92,11.92,0
2015/6/25,12.42,11.85,11.77,12.46,260815206,3179774464,0.797179286,13.26,10.85,12.19,12.05,0
2015/6/26,11.67,10.98,10.67,11.92,320545429,3623880448,0.797179286,13.04,10.67,11.3,11.85,0
2015/6/29,11.22,10.81,10.16,11.28,327773594,3570319360,0.797179286,12.08,9.88,10.89,10.98,0
2015/6/30,10.79,11.59,10.67,11.59,319639916,3572978432,0.797179286,11.89,9.73,11.18,10.81,0
2015/7/1,11.44,11.1,10.95,11.63,230237553,2629096448,0.797179286,12.75,10.44,11.42,11.59,0
2015/7/2,11.08,10.96,10.67,11.41,248730276,2762337280,0.797179286,12.2,9.99,11.1,11.1,0
2015/7/3,11.14,10.42,10.2,11.15,325831125,3473335552,0.797179286,12.06,9.87,10.66,10.96,0
2015/7/6,11.4,11.06,10.59,11.41,424186476,4660186112,0.797179286,11.46,9.37,10.99,10.42,0
2015/7/7,10.89,11.68,10.53,11.68,603165697,6808003584,0.797179286,12.17,9.96,11.29,11.06,0
2015/7/8,11.01,10.51,10.51,11.16,626797139,6762103296,0.797179286,12.85,10.51,10.79,11.68,0
2015/7/9,10.51,11.37,9.65,11.51,544965931,5904698368,0.797179286,11.57,9.46,10.83,10.51,0
2015/7/10,11.04,11.85,10.85,12.24,583430593,6891581440,0.797179286,12.51,10.23,11.81,11.37,0
2015/7/13,11.48,11.51,11.26,11.87,409970030,4737400320,0.797179286,13.03,10.66,11.56,11.85,0
2015/7/14,11.32,11.06,10.77,11.46,323669925,3608580608,0.797179286,12.66,10.36,11.15,11.51,0
2015/7/15,10.89,10.83,10.68,11.13,204022260,2225697024,0.797179286,12.16,9.95,10.91,11.06,0
2015/7/16,10.84,10.84,10.7,10.97,174231803,1884221568,0.797179286,11.91,9.74,10.82,10.83,0
2015/7/17,10.89,11.02,10.79,11.11,210823039,2304999424,0.797179286,11.93,9.76,10.94,10.84,0
2015/7/20,11,10.84,10.79,11,170436320,1852316416,0.797179286,12.12,9.92,10.87,11.02,0
2015/7/21,10.77,10.82,10.67,10.87,141955961,1529148288,0.797179286,11.93,9.76,10.77,10.84,0
2015/7/22,10.75,10.78,10.63,10.79,142764703,1528783872,0.797179286,11.9,9.73,10.71,10.82,0
2015/7/23,10.73,10.9,10.69,10.96,186118253,2022035328,0.797179286,11.85,9.7,10.87,10.78,0
2015/7/24,10.91,10.67,10.62,10.92,168006121,1815659008,0.797179286,11.99,9.81,10.81,10.9,0
2015/7/27,10.56,9.92,9.6,10.62,224273163,2289450240,0.797179286,11.73,9.6,10.21,10.67,0
2015/7/28,9.72,10.06,9.69,10.17,252289646,2509971456,0.797179286,10.91,8.93,9.95,9.92,0
2015/7/29,10.04,10.04,9.87,10.06,121890131,1210759040,0.797179286,11.06,9.06,9.93,10.06,0
2015/7/30,10.05,9.77,9.75,10.08,96625561,962337472,0.797179286,11.05,9.04,9.96,10.04,0
2015/7/31,9.69,9.85,9.58,9.9,150875330,1472860288,0.797179286,10.75,8.79,9.77,9.77,0
2015/8/3,9.73,10.22,9.69,10.24,176261820,1757739776,0.797179286,10.84,8.86,9.97,9.85,0
2015/8/4,10.18,10.25,10.04,10.36,97209952,988843520,0.797179286,11.24,9.2,10.17,10.22,0
2015/8/5,10.2,10.04,10.02,10.32,69219355,704539328,0.797179286,11.28,9.22,10.18,10.25,0
2015/8/6,9.96,9.99,9.91,10.15,56476435,567208512,0.797179286,11.04,9.03,10.04,10.04,0
2015/8/7,10.05,10.05,10,10.14,78026403,785501376,0.797179286,10.99,8.99,10.07,9.99,0
2015/8/10,10.09,10.3,10,10.36,132104777,1346325120,0.797179286,11.06,9.05,10.19,10.05,0
